,Country Name,Year,Adjusted savings: net national savings (current US$),Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"GNI per capita, PPP (current international $)","Government expenditure on education, total (% of government expenditure)",Gross domestic savings (% of GDP),Imports of goods and services (% of GDP),Land area (sq. km),"Life expectancy at birth, total (years)","Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Tax revenue (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
113,Austria,2010,32638475911.0,51.26216033,73.99446307,-3.652443041,1.837093677,42350.0,9.693655014,26.00553693,47.75763591,82520.0,80.5804878,8363404.0,0.5,25.28163551,4.88
114,Austria,2011,37880833461.0,53.94867085,73.27630732,8.836365763,2.922797284,44600.0,9.803499222,26.72369268,51.15411778,82520.0,80.98292683,8391643.0,0.4,25.42798528,4.64
115,Austria,2012,33436234506.0,53.9736762,73.32050559,4.505182228,0.680445577,46500.0,9.770256996,26.67949441,51.17850123,82520.0,80.93658537,8429991.0,0.6,25.92819764,4.91
116,Austria,2013,32481248145.0,53.4412933,73.57880672,2.56421002,0.025504712,48050.0,9.733651161,26.42119328,50.62512079,82520.0,81.13658537,8479823.0,0.3,26.41517309,5.37
117,Austria,2014,35370901547.0,53.38657905,73.19929663,-0.197784974,0.661272849,48860.0,9.422001839,26.80070337,50.1169562,82520.0,81.4902439,8546356.0,0.2,26.41789831,5.67
118,Austria,2015,29636825090.0,53.08906056,72.44452256,-0.560119576,1.014501586,49370.0,9.650598526,27.55547744,49.33825483,82520.0,81.1902439,8642699.0,0.7,26.82616742,5.8
119,Austria,2016,36778192880.0,52.40639365,71.91295663,-6.799712539,1.989437162,52680.0,9.778713226,28.08704337,48.57568463,82520.0,81.64146341,8736668.0,0.7,25.41916923,6.06
159,Bangladesh,2016,77161387381.0,13.92120448,72.72974053,0.015275605,7.113478213,4770.0,13.98173618,27.27025947,17.41294565,130170.0,71.09,159784568.0,13.5,7.316911848,4.35
170,Belarus,2007,6971314698.0,60.94305272,70.33426542,0.033572084,8.600006599,12220.0,13.0917244,29.66573458,67.21082526,202901.0,70.20731707,9560953.0,0.2,23.72669873,7.404
171,Belarus,2008,10133812849.0,60.93775522,68.48220367,0.050368624,10.19999947,13720.0,12.12493229,31.51779633,68.66172333,202902.0,70.45609756,9527985.0,0.2,25.35338921,6.732
172,Belarus,2009,6362760328.0,48.87646182,72.30949397,0.201088325,0.199995249,13740.0,12.1798172,27.69050603,59.759183,202898.0,70.40731707,9504583.0,0.1,18.62947063,6.1
173,Belarus,2010,7236201611.0,51.37288535,71.66645744,0.088412225,7.798266835,15050.0,13.43798161,28.33354256,64.54508764,202902.0,70.40487805,9483836.0,0.0,16.32143837,6.054
174,Belarus,2011,11360635355.0,78.46536152,62.15388371,0.20319812,5.378707504,16380.0,14.53167248,37.84611629,79.50889355,202910.0,70.55365854,9461643.0,0.0,14.50907256,6.022
175,Belarus,2012,11023464304.0,78.77690728,61.61831807,0.236732727,1.687135534,17700.0,13.08640671,38.38168193,74.30836203,202899.0,71.96585366,9446836.0,0.0,14.66297503,5.968
176,Belarus,2013,10382907151.0,58.33357811,64.68616951,0.347158049,1.003470772,18330.0,12.77383041,35.31383049,61.48238713,202908.0,72.47073171,9443211.0,0.0,13.35496285,5.944
177,Belarus,2014,10294761083.0,54.94111369,66.58186376,0.093132074,1.726209989,18440.0,13.52054405,33.41813624,55.71054493,202973.0,72.97073171,9448515.0,0.0,12.69776707,5.908
178,Belarus,2015,8097408009.0,58.01023245,67.79891002,0.188823327,-3.829663071,17330.0,13.05056095,32.20108998,57.90345901,202978.0,73.62439024,9461076.0,0.0,14.17306451,5.878
179,Belarus,2016,5673050982.0,62.50934712,70.16292957,0.257524874,-2.525831409,16950.0,13.57799625,29.83707043,62.69997578,202988.0,73.82682927,9469379.0,0.0,13.78823561,5.84
180,Belgium,2007,51005071519.0,78.3018047,71.26156332,17.72225605,3.676881136,37310.0,11.36902332,28.73843668,74.16664217,30280.0,79.78292683,10625700.0,0.2,24.78853753,7.46
181,Belgium,2008,44854482760.0,80.88061998,73.39043751,43.15557073,0.446928735,38800.0,11.27712917,26.60956249,80.20782782,30280.0,79.6804878,10709973.0,0.1,25.25416988,6.98
182,Belgium,2009,26693595636.0,68.83400371,75.56474852,6.8989487,-2.020743062,38450.0,11.13274479,24.43525148,66.57203682,30280.0,80.03414634,10796493.0,0.1,23.78146279,7.91
183,Belgium,2010,29231001992.0,75.85006448,75.17076743,13.88117753,2.864292708,40440.0,11.21544456,24.82923257,74.1476086,30280.0,80.18292683,10895586.0,0.1,24.46824242,8.29
184,Belgium,2011,21496740810.0,80.69736291,75.59205868,24.67006825,1.694513899,41010.0,11.22957039,24.40794132,80.79636075,30280.0,80.58536585,11038264.0,0.2,24.93665681,7.14
185,Belgium,2012,25644305534.0,80.40449051,76.24712339,8.363271087,0.739217283,43270.0,11.06992149,23.75287661,80.34153972,30280.0,80.38536585,11106932.0,0.2,25.82414125,7.54
186,Belgium,2013,24650772055.0,79.3243484,76.77395133,-2.370517292,0.459242193,44750.0,11.35172081,23.22604867,78.52649664,30280.0,80.58780488,11159407.0,0.1,26.19084708,8.43
187,Belgium,2014,28322996601.0,79.80100907,76.04501005,-0.07811693,1.578533143,45870.0,11.34249592,23.95498995,78.98220685,30280.0,81.28780488,11209057.0,0.1,26.13452545,8.52
188,Belgium,2015,27919130279.0,77.80528215,74.95403183,1.585456967,2.041459009,46850.0,11.73614788,25.04596817,76.38726436,30280.0,80.99268293,11274196.0,0.1,24.35453781,8.48
189,Belgium,2016,28866399621.0,79.42961547,74.55358274,7.258528987,1.266686409,49060.0,11.69543076,25.44641726,78.23541051,30280.0,81.43902439,11331422.0,0.1,22.84232918,7.83
230,Bolivia,2007,2575354289.0,41.79565675,77.28394309,0.022865665,4.564384269,4340.0,20.58189964,22.71605691,34.26625469,1083300.0,65.027,9711152.0,9.5,16.96486574,2.612
252,Botswana,2009,666544852.5,35.83366186,80.11869739,0.077291549,-14.14423462,11020.0,20.47739983,19.88130261,52.64712677,566730.0,58.279,2048997.0,17.7,27.68681402,16.17
258,Botswana,2015,1737340293.0,53.09089734,77.63715617,1.354288049,-4.85133564,12970.0,21.65815926,22.36284383,59.80999367,566730.0,63.818,2305171.0,15.4,26.31109885,18.878
264,Brazil,2011,-3243015213.0,11.58251268,78.9431087,0.614149754,3.974423079,14600.0,14.85282993,21.0568913,12.3518925,8358140.0,73.343,198185302.0,5.3,14.85129878,7.58
265,Brazil,2012,-79685058125.0,11.87753907,79.94197009,0.084505969,1.921175986,14620.0,15.18190956,20.05802991,13.23673455,8358140.0,73.552,199977707.0,4.5,14.33241109,7.25
266,Brazil,2013,-69072998482.0,11.74223064,80.60772908,0.63261809,3.004822669,15320.0,15.13333035,19.39227092,14.04372668,8358140.0,73.918,201721767.0,3.7,14.12530574,7.07
267,Brazil,2014,-122491000000.0,11.01194282,82.11310941,0.839026343,0.50395574,15370.0,14.99427032,17.88689059,13.673463,8358140.0,74.306,203459650.0,3.3,13.49007452,6.76
268,Brazil,2015,-142258000000.0,12.90019142,83.74161723,0.173896122,-3.545763393,14420.0,14.47299004,16.25838277,14.05343452,8358140.0,74.332,205188205.0,3.9,13.62962937,8.54
269,Brazil,2016,-164337000000.0,12.46667904,84.63077703,0.818262251,-3.275916908,13910.0,14.24402046,15.36922297,12.06700304,8358140.0,74.442,206859578.0,4.7,13.71043098,11.58
290,Bulgaria,2007,-1762883833.0,52.35503435,85.21625531,2.187996054,6.654387625,11880.0,9.527602196,14.78374469,71.17752332,108610.0,72.66341463,7545338.0,1.8,21.7606133,6.88
291,Bulgaria,2008,1347566968.0,52.47765905,82.80889045,2.051141685,6.129558762,13650.0,10.65262699,17.19110955,72.21108847,108610.0,72.96341463,7492561.0,1.3,21.97387982,5.61
292,Bulgaria,2009,2848381430.0,42.21885009,79.71672472,0.694387783,-3.347142263,13730.0,10.36380005,20.28327528,50.47379552,108560.0,73.41219512,7444443.0,1.3,18.58649864,6.82
293,Bulgaria,2010,3007497632.0,50.09804494,80.66646388,1.160833752,1.555359513,14640.0,9.889651299,19.33353612,53.28247738,108560.0,73.51219512,7395599.0,2.0,17.87143156,10.28
294,Bulgaria,2011,4663644119.0,58.78820752,78.48350589,0.85278011,2.090175696,15250.0,9.986122131,21.51649411,58.62989637,108560.0,74.16341463,7348328.0,2.5,17.88271515,11.26
295,Bulgaria,2012,4524857500.0,60.34627469,81.39168834,0.755192639,0.748814803,16110.0,9.660421371,18.60831166,63.62504802,108560.0,74.31463415,7305888.0,2.3,18.38533526,12.27
296,Bulgaria,2013,5688122400.0,64.56497865,79.55271478,0.629412053,-0.542751313,16280.0,9.759604454,20.44728522,65.12370434,108560.0,74.86097561,7265115.0,1.8,19.68628224,12.94
297,Bulgaria,2014,4923218353.0,64.59442237,79.57131276,1.543726777,0.949448521,17470.0,9.427565575,20.42868724,65.67356907,108560.0,74.46585366,7223938.0,1.7,19.56662077,11.42
298,Bulgaria,2015,3957824203.0,63.80715712,78.12128083,0.242501792,3.397553876,17820.0,9.69010067,21.87871917,62.92836755,108560.0,74.61463415,7177991.0,3.4,20.07780364,9.14
299,Bulgaria,2016,5142851814.0,63.8820004,76.12744633,1.532533021,3.026628392,19450.0,9.763916016,23.87255367,58.97187922,108560.0,74.81219512,7127822.0,2.0,20.33302996,7.57
307,Burkina Faso,2014,747826871.3,26.93200415,85.69730499,0.498789566,4.326845615,1570.0,19.36811066,14.30269501,31.89155834,273600.0,58.359,18169842.0,39.6,13.66382751,4.28
320,Cabo Verde,2007,401615770.1,33.7458981,79.4429271,0.021279904,15.17068797,5370.0,18.32875061,20.5570729,60.46030945,4030.0,72.835,504733.0,10.6,19.17576553,13.24
328,Cabo Verde,2015,282147352.6,41.13545234,82.63059191,-0.909655762,0.936026508,6030.0,16.74822998,17.36940809,52.87307781,4030.0,74.62,552166.0,4.6,17.13559678,11.954
347,Cameroon,2014,1423047033.0,23.60997553,83.8846039,-0.032394301,5.719818145,3340.0,12.87975979,16.1153961,27.22241378,472710.0,58.935,22299585.0,25.7,12.28534381,3.53
351,Canada,2008,136031000000.0,34.39500555,74.18076812,5.710829205,0.99540631,39780.0,12.49846649,25.81923188,32.62860281,8965590.0,80.72463415,33247118.0,0.2,12.3901656,6.28
352,Canada,2009,19877760883.0,28.51583432,79.53751398,2.745409301,-2.915086239,38200.0,12.5725317,20.46248602,29.95855751,8965590.0,81.06609756,33628895.0,0.2,12.30438595,8.46
353,Canada,2010,51119607101.0,29.16738193,78.47382365,2.246981822,3.090806374,39310.0,12.62090015,21.52617635,31.04073957,8965590.0,81.32219512,34004889.0,0.2,11.7328093,8.18
354,Canada,2011,90935071030.0,30.67839192,77.04861665,2.793396523,3.13719439,40880.0,12.71314907,22.95138335,31.82034685,8965590.0,81.48268293,34339328.0,0.2,11.80392128,7.64
355,Canada,2012,88161211840.0,30.35302552,77.07816036,3.404593801,1.755661325,41540.0,12.85791397,22.92183964,32.24252342,8965590.0,81.66365854,34714222.0,0.2,11.66442736,7.39
356,Canada,2013,98878141591.0,30.33193867,76.66519998,2.949458833,2.325813574,43620.0,13.00229359,23.33480002,31.89913623,8965590.0,81.74487805,35082954.0,0.5,11.6235046,7.14
357,Canada,2014,107384000000.0,31.73657587,76.06287442,3.598493803,2.873466772,45010.0,12.98900795,23.93712558,32.64208628,8965590.0,81.78439024,35437435.0,0.2,11.80837908,7.02
358,Canada,2015,36905043836.0,31.84996096,78.68679419,5.391157447,0.649970994,43990.0,12.74459839,21.31320581,34.3149411,8965590.0,81.81560976,35702908.0,0.2,12.38981091,6.95
359,Canada,2016,26199990155.0,31.50257241,79.53235025,4.42448955,1.038550935,45900.0,12.66294193,20.46764975,33.86111211,8965590.0,81.92487805,36109487.0,0.2,12.49656263,7.04
402,Chile,2009,19982919664.0,37.1156348,69.53475345,3.379779579,-1.118037233,15010.0,17.0356102,30.46524655,29.57039617,743532.0,78.741,16833447.0,1.7,14.60586057,11.31
404,Chile,2011,22927550268.0,37.68978028,70.45578555,6.719485733,6.223896787,18560.0,17.74757004,29.54421445,34.79186253,743532.0,79.11,17173573.0,0.9,18.936096,7.32
406,Chile,2013,27198211620.0,32.08746359,73.47140197,3.360909527,3.308508245,21430.0,19.67765045,26.52859803,33.05582436,743532.0,79.339,17509925.0,0.5,17.4587729,6.2
408,Chile,2015,24418108011.0,29.19107949,75.36751355,6.537888336,2.151942499,22130.0,19.59370995,24.63248645,30.15803099,743532.0,79.746,17870124.0,0.4,17.54608293,6.49
411,China,2008,1600140000000.0,32.60271402,49.77349454,1.235048262,9.650678918,7630.0,14.29631519,50.22650546,25.01000133,9388210.8,74.872,1324655000.0,18.0,10.10142653,4.59
413,China,2010,1964210000000.0,27.18533272,48.91336167,0.952058055,10.63587107,9220.0,13.55206871,51.08663833,23.53174494,9388211.0,75.599,1337705000.0,13.9,10.21204861,4.53
414,China,2011,2162030000000.0,26.56818934,50.15929328,0.641201722,9.550832179,10200.0,13.07809544,49.84070672,24.17271524,9388211.0,75.903,1345035000.0,10.2,10.31279489,4.55
415,China,2012,2309890000000.0,25.49252223,51.1426133,0.761392113,7.863736448,11140.0,14.40716839,48.8573867,22.77500014,9388211.0,76.192,1354190000.0,8.5,10.25676868,4.58
416,China,2013,2359550000000.0,24.59925444,51.71714701,0.762458596,7.766150097,11780.0,13.31540489,48.28285299,22.14512114,9388211.0,76.452,1363240000.0,2.9,9.907732583,4.6
417,China,2014,2540270000000.0,23.51006091,52.52494301,1.175391014,7.425763656,12500.0,12.75261116,47.47505699,21.39515505,9388211.0,76.717,1371860000.0,2.1,9.678618827,4.63
418,China,2015,2389500000000.0,21.35407988,53.99089043,1.576545107,7.041328879,12840.0,12.25982952,46.00910957,18.11008945,9388211.0,76.977,1379860000.0,1.2,9.376920447,4.65
419,China,2016,2310850000000.0,19.58438005,55.03873751,1.926630609,6.848762204,13420.0,12.26956177,44.96126249,17.31003496,9388210.0,77.218,1387790000.0,0.8,9.122915561,4.56
421,Colombia,2008,20794274607.0,18.10959514,79.2275377,1.27219446,3.283446186,9940.0,13.8549099,20.7724623,21.05805428,1109500.0,74.295,43815313.0,11.0,13.03151101,11.27
422,Colombia,2009,16366912991.0,16.42449569,80.31955404,1.507582939,1.139648645,10050.0,15.45088005,19.68044596,18.73163282,1109500.0,74.742,44313917.0,9.6,12.67522738,12.07
423,Colombia,2010,20412780151.0,16.34084476,79.69415138,1.913677778,4.494658971,10450.0,15.92683029,20.30584862,17.92375841,1109500.0,75.033,44816108.0,8.3,12.1421652,11.15
424,Colombia,2011,28356812651.0,19.27650507,77.92182197,2.513634839,6.947891982,11200.0,14.77202988,22.07817803,20.19391848,1109500.0,75.32,45308899.0,6.8,14.57588119,10.29
425,Colombia,2012,26000795616.0,18.81120528,79.10809639,-0.163532931,3.912635767,11630.0,15.02233982,20.89190361,20.02394574,1109500.0,75.597,45782417.0,6.7,13.22699071,9.96
426,Colombia,2013,26051889904.0,18.08643972,79.6312245,2.002671246,5.13399352,12360.0,16.26272964,20.3687755,19.90020908,1109500.0,75.827,46237930.0,6.1,14.02211435,9.25
427,Colombia,2014,26051713388.0,16.63474911,80.21465376,1.022697695,4.499030001,13010.0,14.80897999,19.78534624,20.85271653,1109500.0,76.043,46677947.0,5.4,15.69974837,8.8
428,Colombia,2015,16830329672.0,15.65021151,83.2866488,1.437085548,2.955901375,13200.0,14.29273033,16.7133512,22.71055261,1109500.0,76.257,47119728.0,4.9,15.79726266,8.57
429,Colombia,2016,16629704631.0,14.71713928,83.60095487,1.597817741,2.087382502,13820.0,14.92718983,16.39904513,21.48551371,1109500.0,76.471,47625955.0,4.9,14.38521293,8.92
471,Cote d'Ivoire,2008,-5759850497.0,31.01366907,81.73326247,0.059933115,4.782665979,2280.0,21.52691078,18.26673753,30.92695223,318000.0,53.653,20244449.0,34.4,10.74426681,6.435
478,Cote d'Ivoire,2015,9089610892.0,27.35324379,74.61651465,0.031449031,7.194949427,4480.0,21.17321968,25.38348535,25.35962095,318000.0,57.762,23596741.0,33.4,11.1757328,2.537
482,Croatia,2009,732956959.2,32.21965658,81.51384232,2.214118277,-7.217907255,19510.0,10.71168137,18.48615768,37.73953861,55964.0,76.16829268,4305181.0,0.9,19.39641302,9.2
483,Croatia,2010,844963371.2,35.5978386,81.57013702,0.758583708,-1.243071346,19390.0,10.83368874,18.42986298,37.24213091,55964.0,76.47560976,4295427.0,1.2,19.45787776,11.62
484,Croatia,2011,636888976.8,38.14326419,82.95427438,-0.096269176,-0.082944287,20450.0,10.46747684,17.04572562,39.82759063,55964.0,76.77560976,4280622.0,0.6,18.87212065,13.68
485,Croatia,2012,-197870623.8,38.83407333,83.87159342,-0.151988081,-2.339906798,20790.0,10.81541634,16.12840658,40.43939614,55964.0,76.92439024,4267558.0,0.8,19.41865802,15.93
486,Croatia,2013,979174296.6,39.70554043,83.72610319,-0.048169113,-0.396793619,21760.0,10.5198698,16.27389681,41.69747657,55964.0,77.12682927,4255689.0,0.7,19.92719786,17.25
487,Croatia,2014,1411556162.0,42.60635709,82.59002545,3.779718023,-0.425623768,22080.0,10.65031433,17.40997455,42.99028603,55964.0,77.47804878,4238389.0,1.0,19.59870503,17.29
488,Croatia,2015,3639076822.0,45.55808198,80.4710606,-0.365662756,2.522553399,23520.0,10.46403313,19.5289394,45.34742768,55964.0,77.27560976,4203604.0,0.6,20.49512207,16.18
489,Croatia,2016,3455508188.0,46.7426192,79.1642355,-3.399742605,3.562287829,24880.0,10.54242897,20.8357645,45.63733048,55964.0,78.02195122,4174349.0,0.6,20.97492198,13.1
510,Cyprus,2007,463887429.8,53.25889801,80.3759444,5.267824469,5.098068453,30780.0,14.79816532,19.6240556,58.01605326,9240.0,78.81,1073873.0,0.0,48.56342169,3.95
511,Cyprus,2008,766226429.1,50.08160098,83.80654571,51.60527368,3.646811991,34260.0,15.59704685,16.19345429,62.84411604,9240.0,78.981,1092390.0,0.0,46.04608322,3.76
512,Cyprus,2009,1116438222.0,48.72214083,82.47193796,237.5631869,-2.015262359,33790.0,15.09335613,17.52806204,54.0687199,9240.0,79.401,1110974.0,0.1,23.24918544,5.59
513,Cyprus,2010,313983172.1,50.46717734,84.49207608,123.2460435,2.014695707,33030.0,15.52406216,15.50792392,58.72152121,9240.0,79.665,1129686.0,0.0,23.1149202,6.36
514,Cyprus,2011,1250181509.0,53.60266278,85.07081213,171.8603052,0.401437941,34280.0,14.87080097,14.92918787,57.32193144,9240.0,79.999,1145086.0,0.0,23.21412079,7.94
515,Cyprus,2012,-30546427.89,55.4336177,85.87011208,301.2644176,-3.446822086,31700.0,14.00662994,14.12988792,57.22614893,9240.0,80.109,1156556.0,0.0,23.40029928,12.1
516,Cyprus,2013,-489206187.7,61.45116576,85.65581698,124.9041965,-6.553078255,30050.0,14.78433514,14.34418302,59.77998181,9240.0,80.402,1166968.0,0.1,23.58048225,16.13
517,Cyprus,2014,-1000608544.0,66.15087491,85.67483685,285.2535348,-1.829309109,29350.0,11.31433487,14.32516315,65.08862425,9240.0,80.771,1176995.0,0.1,24.79036195,16.28
518,Cyprus,2015,-28587586.94,70.25296804,83.89014423,222.9818674,3.383079712,31710.0,13.86324215,16.10985577,67.48551034,9240.0,80.966,1187280.0,0.0,24.1283264,15.03
519,Cyprus,2016,183973204.9,70.79860154,81.0518222,30.64960206,6.454554466,34460.0,14.63431835,18.9481778,68.84391109,9240.0,81.056,1197881.0,0.0,23.62100316,13.01
520,Czechia,2007,16183729957.0,66.10076919,65.18317112,2.551173534,5.570338859,24600.0,10.67118263,34.81682888,63.67824812,77250.0,76.72439024,10298828.0,0.1,14.61169007,5.32
521,Czechia,2008,17577050264.0,62.95164809,66.50809081,2.769130729,2.686411951,26270.0,10.52689266,33.49190919,60.79085103,77240.0,76.97560976,10384603.0,0.0,13.67309281,4.39
522,Czechia,2009,5116900293.0,58.34542981,69.30559489,1.600550376,-4.657331092,25840.0,10.43514729,30.69440511,54.45181472,77240.0,77.07804878,10443936.0,0.0,13.57022193,6.66
523,Czechia,2010,3605477608.0,65.54300541,69.58303175,2.510819309,2.434902159,25790.0,10.58565712,30.41696825,62.48590613,77230.0,77.42439024,10474410.0,0.0,13.65075748,7.28
524,Czechia,2011,3359116244.0,70.82186719,69.02816443,0.695315516,1.760359624,26660.0,10.63011456,30.97183557,67.04095169,77230.0,77.87317073,10496088.0,0.0,14.52026341,6.71
525,Czechia,2012,5771267252.0,75.64618657,68.87663515,1.55731538,-0.785004299,27370.0,10.16633415,31.12336485,70.88267001,77230.0,78.07560976,10510785.0,0.0,14.92876345,6.98
526,Czechia,2013,5597734823.0,76.05838162,69.29246833,3.655212,-0.045903674,28860.0,10.6200428,30.70753167,70.36403543,77220.0,78.17560976,10514272.0,0.0,15.08116108,6.95
527,Czechia,2014,8543758992.0,81.95427457,67.65631191,1.946050194,2.262102897,30270.0,10.6447258,32.34368809,75.6207076,77220.0,78.82439024,10525347.0,0.0,14.42965406,6.11
528,Czechia,2015,12031282535.0,80.55877811,66.07485918,1.981645663,5.388380838,31570.0,10.49886131,33.92514082,74.61688537,77210.0,78.57804878,10546059.0,0.0,14.76956046,5.05
529,Czechia,2016,11280143687.0,79.10707663,66.34813972,1.599413632,2.53728452,33660.0,9.933925629,33.65186028,71.47919071,77210.0,79.02682927,10566332.0,0.0,14.91277755,3.95
530,Denmark,2007,30772012502.0,51.48253505,71.82494952,5.426097414,0.909238928,39210.0,11.98038292,28.17505048,48.58531613,40000.0,78.19512195,5461438.0,0.0,35.09300117,3.8
531,Denmark,2008,30820330835.0,54.17579741,72.49254374,5.305024166,-0.512016745,41740.0,12.11152554,27.50745626,50.65243249,40000.0,78.44634146,5493621.0,0.1,33.42154071,3.68
532,Denmark,2009,14032513695.0,47.12607346,76.41455397,1.917970374,-4.90654773,40730.0,12.26772594,23.58544603,42.62896583,40000.0,78.59756098,5523095.0,0.5,33.18383922,6.41
533,Denmark,2010,22279502710.0,50.52292764,74.97807857,-0.17820965,1.870991147,43700.0,12.58372211,25.02192143,43.57704925,40000.0,79.1,5547683.0,0.1,32.73723667,7.75
534,Denmark,2011,28089273157.0,53.82014893,74.4785491,3.814787369,1.336777767,45340.0,12.08395576,25.5214509,47.42564656,40000.0,79.8,5570572.0,0.0,32.75348927,7.77
535,Denmark,2012,26816883341.0,54.63049402,74.5135872,-3.343596399,0.226499792,45820.0,12.03017139,25.4864128,48.61047632,40000.0,80.05121951,5591572.0,0.0,33.44639821,7.8
536,Denmark,2013,34880775736.0,54.82881899,73.70169334,2.039771851,0.933340972,48210.0,12.33083916,26.29830666,48.2213221,40000.0,80.3,5614932.0,0.3,33.81975266,7.38
537,Denmark,2014,42835782550.0,54.61313944,72.94661427,2.810139852,1.619393811,49640.0,12.9065752,27.05338573,47.65077691,40000.0,80.7,5643475.0,0.2,36.50029166,6.93
538,Denmark,2015,37092172033.0,55.4181744,72.5806651,2.397752162,2.342591108,50550.0,12.8566246,27.4193349,48.630054,40000.0,80.70243902,5683483.0,0.2,33.92161906,6.28
539,Denmark,2016,40661780248.0,53.42598052,71.54146682,5.746000434,3.245956985,53250.0,12.94861698,28.45853318,46.74284826,40000.0,80.85365854,5728010.0,0.3,33.29505948,5.99
